2026-09-18 08:02:10 +0000: Memory Usage (424964K) : metal3_res has 2096 polygons
2026-09-18 08:02:10 +0000: Memory Usage (425092K) : metal3_iprobe has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (425092K) : metal3_diffprb has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (425092K) : nwell_drw has 8931 polygons
2026-09-18 08:02:10 +0000: Memory Usage (425220K) : nwell_pin has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (425348K) : nbulay_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (425348K) : nbulay_pin has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (425476K) : nbulay_block has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (425476K) : emwind_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (425604K) : emwind_opc has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (425604K) : deepco_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (425604K) : deepco_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (425732K) : mim_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (425732K) : edgeseal_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (425860K) : edgeseal_bound has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (425860K) : substrate_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (425988K) : substrate_text has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (425988K) : dfpad_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (425988K) : dfpad_pillar has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (426116K) : dfpad_sbump has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (426116K) : thickgateox_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (426244K) : pldb_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (426244K) : pwell_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (426372K) : pwell_pin has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (426372K) : pwell_block has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (426500K) : ic_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (426628K) : via3_drw has 11390 polygons
2026-09-18 08:02:10 +0000: Memory Usage (426756K) : metal4_drw has 3724 polygons
2026-09-18 08:02:10 +0000: Memory Usage (426884K) : metal4_pin has 99 polygons
2026-09-18 08:02:10 +0000: Memory Usage (426884K) : metal4_mask has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (426884K) : metal4_filler has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (427012K) : metal4_nofill has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (427012K) : metal4_slit has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (427012K) : metal4_text has 99 polygons
2026-09-18 08:02:10 +0000: Memory Usage (427140K) : metal4_opc has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (427140K) : metal4_noqrc has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (427140K) : metal4_res has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (427268K) : metal4_iprobe has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (427268K) : metal4_diffprb has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (427268K) : heattrans_drw has 0 polygons
2026-09-18 08:02:10 +0000: Memory Usage (427396K) : heatres_drw has 0 polygons
