2026-09-18 09:42:39 +0000: Memory Usage (427044K) : ic_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (427172K) : via3_drw has 11390 polygons
2026-09-18 09:42:39 +0000: Memory Usage (427300K) : metal4_drw has 3724 polygons
2026-09-18 09:42:39 +0000: Memory Usage (427428K) : metal4_pin has 99 polygons
2026-09-18 09:42:39 +0000: Memory Usage (427428K) : metal4_mask has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (427556K) : metal4_filler has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (427556K) : metal4_nofill has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (427684K) : metal4_slit has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (427684K) : metal4_text has 99 polygons
2026-09-18 09:42:39 +0000: Memory Usage (427684K) : metal4_opc has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (427812K) : metal4_noqrc has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (427812K) : metal4_res has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (427940K) : metal4_iprobe has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (427940K) : metal4_diffprb has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (428068K) : heattrans_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (428068K) : heatres_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (428196K) : pempoly_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (428196K) : fbe_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (428324K) : empoly_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (428324K) : ldmos_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (428324K) : pbiwind_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (428452K) : digisub_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (428452K) : nodrc_drw has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (428580K) : text_drw has 25252 polygons
2026-09-18 09:42:39 +0000: Memory Usage (428580K) : via4_drw has 4260 polygons
2026-09-18 09:42:39 +0000: Memory Usage (428836K) : metal5_drw has 984 polygons
2026-09-18 09:42:39 +0000: Memory Usage (428836K) : metal5_pin has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (428964K) : metal5_mask has 0 polygons
2026-09-18 09:42:39 +0000: Memory Usage (428964K) : metal5_filler has 0 polygons
